hosp,procs,procCount,infCount,sir,ci-low,ci-high,comp
SHARP CHULA VISTA MED CTR,Abdominal Hysterectomy,53,0,,,,
SHARP CORONADO HOSP AND HEALTHCARE CTR,Abdominal Hysterectomy,<20,,,,,
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",Abdominal Hysterectomy,276,2,1.03,0.13,3.72,N.D.
"SHASTA REGIONAL MED CTR, REDDING",Abdominal Hysterectomy,<20,,,,,
SHERMAN OAKS HOSP,Abdominal Hysterectomy,<20,,,,,
"SIERRA NEVADA MEMORIAL HOSP, GRASS VALLEY",Abdominal Hysterectomy,27,0,,,,
"SIERRA VIEW DISTRICT HOSP, PORTERVILLE",Abdominal Hysterectomy,74,1,,,,
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",Abdominal Hysterectomy,37,0,,,,
SIMI VALLEY HOSP & HEALTH CARE SERVICES,Abdominal Hysterectomy,49,0,,,,
SONOMA VALLEY HOSP,Abdominal Hysterectomy,<20,,,,,
SONORA REGIONAL MED CTR,Abdominal Hysterectomy,39,0,,,,
SONORA REGIONAL MED CTR CAMPUS #1,Abdominal Hysterectomy,,,,,,
SONORA REGIONAL MED CTR CAMPUS #2,Abdominal Hysterectomy,,,,,,
ST BERNARDINE MED CTR,Abdominal Hysterectomy,87,1,,,,
"ST ELIZABETH COMMUNITY HOSP, RED BLUFF",Abdominal Hysterectomy,104,2,2.20*,0.27,7.96,N.D.*
"ST HELENA HOSP, CLEARLAKE",Abdominal Hysterectomy,<20,,,,,
"ST HELENA HOSP, ST HELENA",Abdominal Hysterectomy,39,0,,,,
"ST JOHN'S PLEASANT VALLEY HOSP, ARILLO",Abdominal Hysterectomy,28,0,,,,
"ST JOHN'S REGIONAL MED CTR, OXNARD",Abdominal Hysterectomy,53,0,,,,
ST JOSEPH HOSP EUREKA,Abdominal Hysterectomy,,,,,,
"ST JOSEPH HOSP, EUREKA",Abdominal Hysterectomy,33,0,,,,
"ST JOSEPH HOSP, ORANGE",Abdominal Hysterectomy,347,2,1.11,0.13,4.00,N.D.
ST JOSEPH'S MED CTR OF STOCKTON,Abdominal Hysterectomy,89,0,,,,
"ST JUDE MED CTR, FULLERTON",Abdominal Hysterectomy,195,5,3.60,1.17,8.39,High
"ST MARY MED CTR, APPLE VALLEY",Abdominal Hysterectomy,105,0,0.00,0.00,3.40,N.D.
"ST MARY MED CTR, LONG BEACH",Abdominal Hysterectomy,<20,,,,,
"ST MARY'S MED CTR, SAN FRANCISCO",Abdominal Hysterectomy,<20,,,,,
"ST ROSE HOSP, HAYWARD",Abdominal Hysterectomy,<20,,,,,
"STANFORD HOSP, STANFORD",Abdominal Hysterectomy,223,3,1.22,0.25,3.55,N.D.
"STANISLAUS SURGICAL HOSP, MODESTO",Abdominal Hysterectomy,31,0,,,,
"SUTTER AMADOR HOSP, JACKSON",Abdominal Hysterectomy,21,0,,,,
"SUTTER AUBURN FAITH HOSP, AUBURN",Abdominal Hysterectomy,26,0,,,,
"SUTTER COAST HOSP, CRESCENT CITY",Abdominal Hysterectomy,24,0,,,,
"SUTTER DAVIS HOSPITAL, DAVIS",Abdominal Hysterectomy,51,1,,,,
"SUTTER DELTA MED CTR, ANTIOCH",Abdominal Hysterectomy,39,0,,,,
SUTTER EAST BAY HOSPS CTR,Abdominal Hysterectomy,172,0,0.00,0.00,2.59,N.D.
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",Abdominal Hysterectomy,,,,,,
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",Abdominal Hysterectomy,,,,,,
SUTTER EAST BAY HOSPS CTR,Abdominal Hysterectomy,95,0,,,,
"ALTA BATES SUMMIT MED CTR, OAKLAND",Abdominal Hysterectomy,,,,,,
"ALTA BATES SUMMIT MED CTR, SUMMIT CAMPUS, OAKLAND",Abdominal Hysterectomy,,,,,,
SUTTER HEALTH SACRAMENTO SIERRA REGION,Abdominal Hysterectomy,392,2,0.86,0.10,3.09,N.D.
"SUTTER GENERAL HOSP, SACRAMENTO",Abdominal Hysterectomy,,,,,,
"SUTTER MEMORIAL HOSP, SACRAMENTO",Abdominal Hysterectomy,,,,,,
"SUTTER LAKESIDE HOSP, LAKEPORT",Abdominal Hysterectomy,<20,,,,,
SUTTER MATERNITY & SURGERY CTR OF SANTA CRUZ,Abdominal Hysterectomy,107,0,0.00*,0.00,4.68,N.D.*
"SUTTER MED CTR, CASTRO VALLEY",Abdominal Hysterectomy,41,0,,,,
"EDEN MED CTR, CASTRO VALLEY",Abdominal Hysterectomy,,,,,,
SAN LEANDRO HOSP,Abdominal Hysterectomy,,,,,,
SUTTER MED CTR OF SANTA ROSA,Abdominal Hysterectomy,134,0,0.00*,0.00,3.92,N.D.*
SUTTER ROSEVILLE MED CTR,Abdominal Hysterectomy,181,0,0.00,0.00,2.88,N.D.
"SUTTER SOLANO MED CTR, VALLEJO",Abdominal Hysterectomy,53,0,,,,
"SUTTER SURGICAL HOSP, NORTH VALLEY, YUBA CITY",Abdominal Hysterectomy,51,0,,,,
SUTTER TRACY COMMUNITY HOSP,Abdominal Hysterectomy,70,0,,,,
SUTTER WEST BAY HOSPS,Abdominal Hysterectomy,,,,,,
"CALIFORNIA PACIFIC MED CTR, DAVIES CAM HOSP, S F",Abdominal Hysterectomy,<20,,,,,
SUTTER WEST BAY HOSPS,Abdominal Hysterectomy,237,0,0.00,0.00,3.21,N.D.
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",Abdominal Hysterectomy,,,,,,
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",Abdominal Hysterectomy,,,,,,
"TAHOE FOREST HOSP, TRUCKEE",Abdominal Hysterectomy,<20,,,,,
"TORRANCE MEMORIAL MED CTR, TORRANCE",Abdominal Hysterectomy,367,1,0.43,0.01,2.40,N.D.
"TRI-CITY MED CTR, OCEANSIDE",Abdominal Hysterectomy,128,0,0.00,0.00,3.68,N.D.
"TRI-CITY REGIONAL MED CTR, HAWAIIAN GARDENS",Abdominal Hysterectomy,<20,,,,,
"TRINITY HOSP, WEAVERVILLE",Abdominal Hysterectomy,<20,,,,,
TULARE REGIONAL MEDICAL CTR,Abdominal Hysterectomy,25,0,,,,
"TWIN CITIES COMMUNITY HOSP, TEMPLETON",Abdominal Hysterectomy,39,0,,,,
"UHS-CORONA, INC.",Abdominal Hysterectomy,79,0,,,,
"CORONA REGIONAL MED CTR, CAMPUS #1",Abdominal Hysterectomy,,,,,,
"CORONA REGIONAL MED CTR, CAMPUS #2",Abdominal Hysterectomy,,,,,,
"UKIAH VALLEY MED CTR/HOSP DRIVE, UKIAH",Abdominal Hysterectomy,<20,,,,,
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",Abdominal Hysterectomy,286,3,1.36,0.28,3.98,N.D.
"UNIVERSAL HEALTH SERVICES OF RANCHO SPRINGS, INC.",Abdominal Hysterectomy,193,0,0.00,0.00,2.80,N.D.
"SOUTHWEST HEALTHCARE SYSTEMS, MURRIETA",Abdominal Hysterectomy,,,,,,
"SOUTHWEST HEALTHCARE SYSTEMS, WILDOMAR",Abdominal Hysterectomy,,,,,,
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",Abdominal Hysterectomy,215,4,1.56,0.42,3.99,N.D.
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Abdominal Hysterectomy,161,3,1.72,0.36,5.03,N.D.
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",Abdominal Hysterectomy,,,,,,
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",Abdominal Hysterectomy,,,,,,
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",Abdominal Hysterectomy,299,0,0.00,0.00,1.31,N.D.
"UCSF MED CTR, SAN FRANCISCO",Abdominal Hysterectomy,,,,,,
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",Abdominal Hysterectomy,,,,,,
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",Abdominal Hysterectomy,65,0,,,,
"VERDUGO HILLS HOSP, GLENDALE",Abdominal Hysterectomy,97,0,,,,
"VICTOR VALLEY COMMUNITY HOSP, VICTORVILLE",Abdominal Hysterectomy,93,0,,,,
"WASHINGTON HOSP, FREMONT",Abdominal Hysterectomy,50,0,,,,
WATSONVILLE COMMUNITY HOSP,Abdominal Hysterectomy,39,0,,,,
WEST HILLS HOSP AND MED CTR,Abdominal Hysterectomy,101,0,0.00*,0.00,5.22,N.D.*
WESTERN MED CTR ANAHEIM,Abdominal Hysterectomy,43,1,,,,
WESTERN MED CTR SANTA ANA,Abdominal Hysterectomy,124,1,1.47*,0.04,8.17,N.D.*
"WHITE MEMORIAL MED CTR, LOS ANGELES",Abdominal Hysterectomy,75,2,,,,
WHITTIER HOSP MED CTR,Abdominal Hysterectomy,58,0,,,,
WOODLAND MEMORIAL HOSP,Abdominal Hysterectomy,60,0,,,,
ADVENTIST HEALTH SYSTEMS,Knee Prosthesis Surgery,246,0,0.00,0.00,1.81,N.D.
"ADVENTIST MED CTR, HANFORD",Knee Prosthesis Surgery,,,,,,
ADVENTIST MED CTR-SELMA,Knee Prosthesis Surgery,,,,,,
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",Knee Prosthesis Surgery,106,0,0.00*,0.00,5.21,N.D.*
ALAMEDA COUNTY MED CTR,Knee Prosthesis Surgery,59,0,,,,
"ALAMEDA COUNTY MED CTR, OAKLAND",Knee Prosthesis Surgery,,,,,,
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",Knee Prosthesis Surgery,,,,,,
ALAMEDA HOSP,Knee Prosthesis Surgery,21,0,,,,
ALHAMBRA HOSP MED CTR,Knee Prosthesis Surgery,<20,,,,,
"ALTA LOS ANGELES HOSPS, INC.",Knee Prosthesis Surgery,<20,,,,,
LOS ANGELES COMMUNITY HOSP,Knee Prosthesis Surgery,,,,,,
NORWALK COMMUNITY HOSP,Knee Prosthesis Surgery,,,,,,
"ALVARADO HOSP, LLC",Knee Prosthesis Surgery,90,0,,,,
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",Knee Prosthesis Surgery,,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",Knee Prosthesis Surgery,,,,,,
"ANTELOPE VALLEY HOSP, LANCASTER",Knee Prosthesis Surgery,200,0,0.00,0.00,2.41,N.D.
"ARROWHEAD RGN MED CTR, COLTON",Knee Prosthesis Surgery,28,0,,,,
BAKERSFIELD HEART HOSP,Knee Prosthesis Surgery,51,1,,,,
BAKERSFIELD MEMORIAL HOSP,Knee Prosthesis Surgery,279,3,1.90,0.39,5.54,N.D.
BARSTOW COMMUNITY HOSP,Knee Prosthesis Surgery,<20,,,,,
"BARTON MEMORIAL HOSP, SOUTH LAKE TAHOE",Knee Prosthesis Surgery,107,0,0.00*,0.00,5.47,N.D.*
BELLFLOWER MED CTR,Knee Prosthesis Surgery,<20,,,,,
"BEVERLY HOSP, MONTEBELLO",Knee Prosthesis Surgery,72,0,,,,
"BIGGS GRIDLEY MEMORIAL HOSP, GRIDLEY",Knee Prosthesis Surgery,<20,,,,,
"BROTMAN MED CTR, CULVER CITY",Knee Prosthesis Surgery,<20,,,,,
"CALIFORNIA HOSP MED CTR, LOS ANGELES",Knee Prosthesis Surgery,93,0,,,,
"CALIFORNIA PACIFIC MED CTR, ST LUKE'S CAMPUS,",Knee Prosthesis Surgery,,,,,,
SAN FRANCISCO,Knee Prosthesis Surgery,,,,,,
"CEDARS-SINAI MED CTR, LOS ANGELES",Knee Prosthesis Surgery,874,6,0.92,0.34,2.00,N.D.
"CENTINELA HOSP MED CTR, INGLEWOOD",Knee Prosthesis Surgery,39,1,,,,
"CHAPMAN MED CTR, ORANGE",Knee Prosthesis Surgery,55,0,,,,
CHILDRENS HOSP OF LOS ANGELES,Knee Prosthesis Surgery,<20,,,,,
"CHINESE HOSP, SAN FRANCISCO",Knee Prosthesis Surgery,22,0,,,,
"CHINO VALLEY MED CTR, CHINO",Knee Prosthesis Surgery,<20,,,,,
"CITRUS VALLEY MED CTR, INC.",Knee Prosthesis Surgery,251,1,0.60,0.02,3.34,N.D.
"CITRUS VALLEY MED CTR, IC , COVINA",Knee Prosthesis Surgery,,,,,,
"CITRUS VALLEY MED CTR, QV, WEST COVINA",Knee Prosthesis Surgery,,,,,,
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",Knee Prosthesis Surgery,<20,,,,,
CLOVIS COMMUNITY MED CTR,Knee Prosthesis Surgery,46,0,,,,
"COAST PLAZA HOSP, NORWALK",Knee Prosthesis Surgery,<20,,,,,
"COASTAL COMMUNITIES HOSP, SANTA ANA",Knee Prosthesis Surgery,25,0,,,,
COMMUNITY AND MISSION HOSP OF HUNTINGTON PARK,Knee Prosthesis Surgery,<20,,,,,
COMMUNITY HOSP LONG BEACH,Knee Prosthesis Surgery,<20,,,,,
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",Knee Prosthesis Surgery,307,1,0.47,0.01,2.64,N.D.
COMMUNITY HOSP OF SAN BERNARDINO,Knee Prosthesis Surgery,<20,,,,,
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",Knee Prosthesis Surgery,290,2,1.13,0.14,4.08,N.D.
"COMMUNITY REGIONAL MED CTR, FRESNO",Knee Prosthesis Surgery,123,3,3.24*,0.67,9.47,N.D.*
COUNTY OF VENTURA,Knee Prosthesis Surgery,85,0,,,,
VENTURA COUNTY MED CTR,Knee Prosthesis Surgery,,,,,,
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",Knee Prosthesis Surgery,,,,,,
"DAMERON HOSP, STOCKTON",Knee Prosthesis Surgery,337,3,1.34,0.28,3.93,N.D.
DELANO REGIONAL MED CTR,Knee Prosthesis Surgery,32,0,,,,
"DESERT REGIONAL MED CTR, PALM SPRINGS",Knee Prosthesis Surgery,285,0,0.00,0.00,2.69,N.D.
"DESERT VALLEY HOSP, VICTORVILLE",Knee Prosthesis Surgery,<20,,,,,
DIGNITY HEALTH,Knee Prosthesis Surgery,158,0,0.00*,0.00,4.54,N.D.*
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",Knee Prosthesis Surgery,,,,,,
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",Knee Prosthesis Surgery,,,,,,
DIGNITY HEALTH,Knee Prosthesis Surgery,148,1,1.16*,0.03,6.46,N.D.*
"MERCY HOSP, BAKERSFIELD",Knee Prosthesis Surgery,,,,,,
"MERCY SOUTHWEST HOSP, BAKERSFIELD",Knee Prosthesis Surgery,,,,,,
DOCTORS HOSP OF MANTECA,Knee Prosthesis Surgery,60,2,,,,
"DOCTORS HOSP OF WEST COVINA, INC, WEST COVINA",Knee Prosthesis Surgery,40,0,,,,
"DOCTORS MED CTR, MODESTO",Knee Prosthesis Surgery,260,3,2.08,0.43,6.08,N.D.
"DOCTORS MED CTR, SAN PABLO",Knee Prosthesis Surgery,55,1,,,,
DOWNEY REGIONAL MED CTR,Knee Prosthesis Surgery,219,0,0.00,0.00,2.20,N.D.
"EAST LOS ANGELES DOCTORS HOSP, LOS ANGELES",Knee Prosthesis Surgery,<20,,,,,
"EAST VALLEY HOSP MED CTR, GLENDORA",Knee Prosthesis Surgery,<20,,,,,
"EISENHOWER MED CTR, RANCHO MIRAGE",Knee Prosthesis Surgery,433,1,0.40,0.01,2.24,N.D.
EL CAMINO HOSP,Knee Prosthesis Surgery,,,,,,
"EL CAMINO HOSP, LOS GATOS",Knee Prosthesis Surgery,197,1,0.91,0.02,5.09,N.D.
"EL CAMINO HOSP, MOUNTAIN VIEW",Knee Prosthesis Surgery,242,1,0.50,0.01,2.79,N.D.
"EMANUEL MED CTR INC, TURLOCK",Knee Prosthesis Surgery,120,0,0.00*,0.00,4.17,N.D.*
ENLOE MED CTR,Knee Prosthesis Surgery,205,1,0.76,0.02,4.24,N.D.
"ENLOE MED CTR-COHASSET, CHICO",Knee Prosthesis Surgery,,,,,,
"ENLOE MED CTR-ESPLANADE, CHICO",Knee Prosthesis Surgery,,,,,,
"ENLOE REHABILITATION CTR, CHICO",Knee Prosthesis Surgery,,,,,,
"FAIRCHILD MED CTR, YREKA",Knee Prosthesis Surgery,50,0,,,,
FALLBROOK HOSP DISTRICT,Knee Prosthesis Surgery,65,0,,,,
"FEATHER RIVER HOSP, PARADISE",Knee Prosthesis Surgery,196,1,1.01*,0.03,5.61,N.D.*
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL,",Knee Prosthesis Surgery,,,,,,
GLENDORA,Knee Prosthesis Surgery,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Knee Prosthesis Surgery,242,0,0.00,0.00,2.62,N.D.
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Knee Prosthesis Surgery,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Knee Prosthesis Surgery,,,,,,
"FRANK R. HOWARD MEMORIAL HOSP, WILLITS",Knee Prosthesis Surgery,140,0,0.00*,0.00,4.73,N.D.*
FREMONT-RIDEOUT HEALTH GROUP,Knee Prosthesis Surgery,<20,,,,,
"FREMONT MED CTR, YUBA CITY",Knee Prosthesis Surgery,,,,,,
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",Knee Prosthesis Surgery,,,,,,
"FRENCH HOSP MED CTR, SAN LUIS OBISPO",Knee Prosthesis Surgery,202,1,1.08*,0.03,6.02,N.D.*
FRESNO SURGICAL HOSP,Knee Prosthesis Surgery,971,0,0.00,0.00,0.78,Low
GARDEN GROVE HOSP AND MED CTR,Knee Prosthesis Surgery,21,0,,,,
"GARFIELD MED CTR, MONTEREY PARK",Knee Prosthesis Surgery,<20,,,,,
"GEORGE L. MEE MEMORIAL HOSP, KING CITY",Knee Prosthesis Surgery,<20,,,,,
GLENDALE ADVENTIST MED CTR,Knee Prosthesis Surgery,344,6,1.79,0.66,3.90,N.D.
GLENDALE MEMORIAL HOSP AND HEALTH CTR,Knee Prosthesis Surgery,154,0,0.00,0.00,3.50,N.D.
"GOLETA VALLEY COTTAGE HOSP, SANTA BARBARA",Knee Prosthesis Surgery,248,2,1.23,0.15,4.44,N.D.
"GOOD SAMARITAN HOSP, LOS ANGELES",Knee Prosthesis Surgery,385,1,0.22,0.01,1.23,N.D.
"GOOD SAMARITAN HOSP, LP",Knee Prosthesis Surgery,323,0,0.00,0.00,1.79,N.D.
"MISSION OAKS HOSP, LOS GATOS",Knee Prosthesis Surgery,,,,,,
"GOOD SAMARITAN HOSP, SAN JOSE",Knee Prosthesis Surgery,,,,,,
"GROSSMONT HOSP, LA MESA",Knee Prosthesis Surgery,324,1,0.42,0.01,2.33,N.D.
"HAZEL HAWKINS MEMORIAL HOSP, HOLLISTER",Knee Prosthesis Surgery,<20,,,,,
HEALDSBURG DISTRICT HOSP,Knee Prosthesis Surgery,46,0,,,,
HEMET VALLEY MED CTR,Knee Prosthesis Surgery,54,1,,,,
"HENRY MAYO NEWHALL MEMORIAL HOSP, VALENCIA",Knee Prosthesis Surgery,86,0,,,,
"HI-DESERT MED CTR, JOSHUA TREE",Knee Prosthesis Surgery,60,0,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",Knee Prosthesis Surgery,<20,,,,,
"HOAG HOSPITAL, IRVINE",Knee Prosthesis Surgery,,,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",Knee Prosthesis Surgery,,,,,,
HOAG ORTHOPEDIC HOSPITAL,Knee Prosthesis Surgery,1580,1,0.14,0.00,0.78,Low
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",Knee Prosthesis Surgery,39,0,,,,
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,Knee Prosthesis Surgery,248,0,0.00,0.00,2.99,N.D.
"VALLEYCARE MEDICAL CENTER, PLEASANTON",Knee Prosthesis Surgery,,,,,,
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",Knee Prosthesis Surgery,,,,,,
HUNTINGTON BEACH HOSP,Knee Prosthesis Surgery,<20,,,,,
"HUNTINGTON MEMORIAL HOSP, PASADENA",Knee Prosthesis Surgery,497,0,0.00,0.00,1.12,N.D.
"JOHN F. KENNEDY MEMORIAL HOSP, INDIO",Knee Prosthesis Surgery,448,0,0.00,0.00,2.09,N.D.
"JOHN MUIR MED CTR, CONCORD",Knee Prosthesis Surgery,218,0,0.00,0.00,2.44,N.D.
"JOHN MUIR MED CTR, WALNUT CREEK",Knee Prosthesis Surgery,696,3,0.73,0.15,2.12,N.D.
"KAISER FOUNDATION HOSP, ANTIOCH",Knee Prosthesis Surgery,464,1,0.43,0.01,2.40,N.D.
"KAISER FOUNDATION HOSP, BALDWIN PARK",Knee Prosthesis Surgery,512,0,0.00,0.00,1.42,N.D.
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",Knee Prosthesis Surgery,461,1,0.46,0.01,2.54,N.D.
"KAISER FOUNDATION HOSP, FRESNO",Knee Prosthesis Surgery,286,0,0.00,0.00,2.78,N.D.
"KAISER FOUNDATION HOSP, LOS ANGELES",Knee Prosthesis Surgery,307,1,0.44,0.01,2.44,N.D.
"KAISER FOUNDATION HOSP, MORENO VALLEY",Knee Prosthesis Surgery,20,0,,,,
"KAISER FOUNDATION HOSP, PANORAMA CITY",Knee Prosthesis Surgery,360,0,0.00,0.00,2.05,N.D.
"KAISER FOUNDATION HOSP, REDWOOD CITY",Knee Prosthesis Surgery,193,0,0.00,0.00,3.45,N.D.
"KAISER FOUNDATION HOSP, RIVERSIDE",Knee Prosthesis Surgery,380,0,0.00,0.00,2.05,N.D.
"KAISER FOUNDATION HOSP, ROSEVILLE",Knee Prosthesis Surgery,659,1,0.31,0.01,1.74,N.D.
"KAISER FOUNDATION HOSP, SACRAMENTO",Knee Prosthesis Surgery,294,0,0.00,0.00,1.84,N.D.
"KAISER FOUNDATION HOSP, SAN DIEGO",Knee Prosthesis Surgery,400,1,0.32,0.01,1.79,N.D.
"KAISER FOUNDATION HOSP, SAN FRANCISCO",Knee Prosthesis Surgery,296,0,0.00,0.00,1.93,N.D.
KAISER FOUNDATION HOSP-SAN JOSE,Knee Prosthesis Surgery,281,0,0.00,0.00,3.32,N.D.
"KAISER FOUNDATION HOSP, SAN RAFAEL",Knee Prosthesis Surgery,229,0,0.00,0.00,2.93,N.D.
KAISER FOUNDATION HOSP-SANTA CLARA,Knee Prosthesis Surgery,481,3,1.00,0.21,2.91,N.D.
"KAISER FOUNDATION HOSP, SANTA ROSA",Knee Prosthesis Surgery,277,1,0.70,0.02,3.89,N.D.
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",Knee Prosthesis Surgery,338,2,1.23,0.15,4.43,N.D.
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,Knee Prosthesis Surgery,310,7,3.18,1.28,6.55,High
"KAISER FOUNDATION HOSP, SOUTH SAN FRANCISCO",Knee Prosthesis Surgery,245,0,0.00,0.00,2.97,N.D.
"KAISER FOUNDATION HOSP, VACAVILLE",Knee Prosthesis Surgery,224,0,0.00,0.00,2.99,N.D.
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",Knee Prosthesis Surgery,291,0,0.00,0.00,2.08,N.D.
KAISER FOUNDATION HOSP-WALNUT CREEK,Knee Prosthesis Surgery,352,1,0.47,0.01,2.61,N.D.
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",Knee Prosthesis Surgery,169,0,0.00*,0.00,3.92,N.D.*
"KAISER FOUNDATION HOSP, WOODLAND HILLS",Knee Prosthesis Surgery,323,0,0.00,0.00,2.23,N.D.
KAISER FOUNDATION HOSPS,Knee Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, IRVINE",Knee Prosthesis Surgery,521,2,0.77,0.09,2.79,N.D.
KAISER FOUNDATION HOSPS,Knee Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, FONTANA",Knee Prosthesis Surgery,422,0,0.00,0.00,1.68,N.D.
KAISER FOUNDATION HOSPS,Knee Prosthesis Surgery,408,0,0.00,0.00,1.69,N.D.
"KAISER FOUNDATION HOSP, FREMONT",Knee Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",Knee Prosthesis Surgery,,,,,,
KAISER FOUNDATION HOSPS,Knee Prosthesis Surgery,451,2,0.58,0.07,2.09,N.D.
"KAISER FOUNDATION HOSP, MODESTO",Knee Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, MANTECA",Knee Prosthesis Surgery,,,,,,
KAISER FOUNDATION HOSPS,Knee Prosthesis Surgery,524,2,0.49,0.06,1.77,N.D.
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",Knee Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",Knee Prosthesis Surgery,,,,,,
"KAWEAH DELTA MED CTR, VISALIA",Knee Prosthesis Surgery,224,0,0.00,0.00,2.43,N.D.
"KECK HOSP OF USC, LOS ANGELES",Knee Prosthesis Surgery,336,2,0.49,0.06,1.77,N.D.
"KERN MED CTR, BAKERSFIELD",Knee Prosthesis Surgery,<20,,,,,
LA PALMA INTERCOMMUNITY HOSP,Knee Prosthesis Surgery,<20,,,,,
"LAC+USC MED CTR, LOS ANGELES",Knee Prosthesis Surgery,<20,,,,,
"LAC/HARBOR-UCLA MED CTR, TORRANCE",Knee Prosthesis Surgery,79,0,,,,
LAKEWOOD REGIONAL MED CTR,Knee Prosthesis Surgery,145,2,2.95*,0.36,10.66,N.D.*
"LODI MEMORIAL HOSP ASSOCIATION, INC.",Knee Prosthesis Surgery,108,0,0.00*,0.00,8.38,N.D.*
LODI MEMORIAL HOSP,Knee Prosthesis Surgery,(1RH),,,,,
LODI MEMORIAL HOSP-WEST,Knee Prosthesis Surgery,,,,,,
LOMA LINDA UNIVERSITY MED CTR,Knee Prosthesis Surgery,163,1,0.63,0.02,3.49,N.D.
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",Knee Prosthesis Surgery,,,,,,
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",Knee Prosthesis Surgery,,,,,,
"LOMA LINDA UNIV MED CTR, LOMA LINDA",Knee Prosthesis Surgery,,,,,,
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,Knee Prosthesis Surgery,168,0,0.00*,0.00,5.12,N.D.*
LOMPOC VALLEY MED CTR,Knee Prosthesis Surgery,41,0,,,,
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",Knee Prosthesis Surgery,388,0,0.00,0.00,1.41,N.D.
LOS ALAMITOS MED CTR,Knee Prosthesis Surgery,211,1,0.83,0.02,4.62,N.D.
LOS ROBLES REGIONAL MED CTR,Knee Prosthesis Surgery,432,0,0.00,0.00,1.49,N.D.
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",Knee Prosthesis Surgery,,,,,,
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",Knee Prosthesis Surgery,,,,,,
THOUSAND OAKS SURGICAL HOSP,Knee Prosthesis Surgery,,,,,,
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD,",Knee Prosthesis Surgery,,,,,,
MADERA COMMUNITY HOSP,Knee Prosthesis Surgery,38,0,,,,
MAMMOTH HOSP,Knee Prosthesis Surgery,35,0,,,,
MARIAN REGIONAL MEDICAL CENTER,Knee Prosthesis Surgery,,,,,,
