hosp,procs,procCount,infCount,sir,ci-low,ci-high,comp
"SHASTA REGIONAL MED CTR, REDDING","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SHERMAN OAKS HOSP,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SIERRA NEVADA MEMORIAL HOSP, GRASS VALLEY","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SIERRA VIEW DISTRICT HOSP, PORTERVILLE","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SIMI VALLEY HOSP & HEALTH CARE SERVICES,"Bile Duct, Liver or Pancreatic Surgery",20,1,,,,
SONORA REGIONAL MED CTR,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SONORA REGIONAL MED CTR CAMPUS #1,"Bile Duct, Liver or Pancreatic Surgery",,,,,,
SONORA REGIONAL MED CTR CAMPUS #2,"Bile Duct, Liver or Pancreatic Surgery",,,,,,
ST BERNARDINE MED CTR,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST ELIZABETH COMMUNITY HOSP, RED BLUFF","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST HELENA HOSP, CLEARLAKE","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST HELENA HOSP, ST HELENA","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST JOHN'S PLEASANT VALLEY HOSP, ARILLO","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST JOHN'S REGIONAL MED CTR, OXNARD","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
ST JOSEPH HOSP EUREKA,"Bile Duct, Liver or Pancreatic Surgery",,,,,,
"ST JOSEPH HOSP, EUREKA","Bile Duct, Liver or Pancreatic Surgery",21,0,,,,
"ST JOSEPH HOSP, ORANGE","Bile Duct, Liver or Pancreatic Surgery",94,0,0.00,0.00,0.80,Low
ST JOSEPH'S MED CTR OF STOCKTON,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST JUDE MED CTR, FULLERTON","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST MARY MED CTR, APPLE VALLEY","Bile Duct, Liver or Pancreatic Surgery",31,0,0.00,0.00,0.93,Low
"ST MARY MED CTR, LONG BEACH","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST MARY'S MED CTR, SAN FRANCISCO","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ST ROSE HOSP, HAYWARD","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"STANFORD HOSP, STANFORD","Bile Duct, Liver or Pancreatic Surgery",372,31,0.45,0.31,0.64,Low
"SUTTER AMADOR HOSP, JACKSON","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SUTTER AUBURN FAITH HOSP, AUBURN","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SUTTER COAST HOSP, CRESCENT CITY","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SUTTER DAVIS HOSPITAL, DAVIS","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SUTTER DELTA MED CTR, ANTIOCH","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SUTTER EAST BAY HOSPS CTR,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY","Bile Duct, Liver or Pancreatic Surgery",,,,,,
SUTTER EAST BAY HOSPS CTR,"Bile Duct, Liver or Pancreatic Surgery",51,1,0.34,0.01,1.92,N.D.
"ALTA BATES SUMMIT MED CTR, OAKLAND","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"ALTA BATES SUMMIT MED CTR, SUMMIT CAMPUS, OAKLAND","Bile Duct, Liver or Pancreatic Surgery",,,,,,
SUTTER HEALTH SACRAMENTO SIERRA REGION,"Bile Duct, Liver or Pancreatic Surgery",67,1,0.37,0.01,2.06,N.D.
"SUTTER GENERAL HOSP, SACRAMENTO","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"SUTTER MEMORIAL HOSP, SACRAMENTO","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"SUTTER LAKESIDE HOSP, LAKEPORT","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SUTTER MATERNITY & SURGERY CTR OF SANTA CRUZ,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SUTTER MED CTR, CASTRO VALLEY","Bile Duct, Liver or Pancreatic Surgery",21,0,,,,
"EDEN MED CTR, CASTRO VALLEY","Bile Duct, Liver or Pancreatic Surgery",,,,,,
SAN LEANDRO HOSP,"Bile Duct, Liver or Pancreatic Surgery",,,,,,
SUTTER MED CTR OF SANTA ROSA,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SUTTER ROSEVILLE MED CTR,"Bile Duct, Liver or Pancreatic Surgery",30,0,0.00,0.00,1.06,N.D.
"SUTTER SOLANO MED CTR, VALLEJO","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SUTTER TRACY COMMUNITY HOSP,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
SUTTER WEST BAY HOSPS,"Bile Duct, Liver or Pancreatic Surgery",295,15,1.13,0.63,1.86,N.D.
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"TORRANCE MEMORIAL MED CTR, TORRANCE","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"TRI-CITY MED CTR, OCEANSIDE","Bile Duct, Liver or Pancreatic Surgery",41,0,0.00,0.00,0.76,Low
TULARE REGIONAL MEDICAL CTR,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"UHS-CORONA, INC.","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"CORONA REGIONAL MED CTR, CAMPUS #1","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"CORONA REGIONAL MED CTR, CAMPUS #2","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"UKIAH VALLEY MED CTR/HOSP DRIVE, UKIAH","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO","Bile Duct, Liver or Pancreatic Surgery",252,3,0.25,0.05,0.73,Low
"UNIVERSAL HEALTH SERVICES OF RANCHO SPRINGS, INC.","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"SOUTHWEST HEALTHCARE SYSTEMS, MURRIETA","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"SOUTHWEST HEALTHCARE SYSTEMS, WILDOMAR","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE","Bile Duct, Liver or Pancreatic Surgery",164,7,0.19,0.08,0.38,Low
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","Bile Duct, Liver or Pancreatic Surgery",179,10,0.91,0.44,1.67,N.D.
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","Bile Duct, Liver or Pancreatic Surgery",366,17,0.64,0.37,1.03,N.D.
"UCSF MED CTR, SAN FRANCISCO","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO","Bile Duct, Liver or Pancreatic Surgery",,,,,,
"VALLEY PRESBYTERIAN HOSP, VAN NUYS","Bile Duct, Liver or Pancreatic Surgery",28,0,0.00,0.00,1.19,N.D.
"VICTOR VALLEY COMMUNITY HOSP, VICTORVILLE","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"WASHINGTON HOSP, FREMONT","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
WATSONVILLE COMMUNITY HOSP,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"WEST ANAHEIM MED CTR, ANAHEIM","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
WEST HILLS HOSP AND MED CTR,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
WESTERN MED CTR SANTA ANA,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"WHITE MEMORIAL MED CTR, LOS ANGELES","Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
WHITTIER HOSP MED CTR,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
WOODLAND MEMORIAL HOSP,"Bile Duct, Liver or Pancreatic Surgery",<20,,,,,
"ALVARADO HOSP, LLC",Cardiac Surgery,<20,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",Cardiac Surgery,,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",Cardiac Surgery,,,,,,
"ANTELOPE VALLEY HOSP, LANCASTER",Cardiac Surgery,<20,,,,,
"ARROWHEAD RGN MED CTR, COLTON",Cardiac Surgery,<20,,,,,
BAKERSFIELD HEART HOSP,Cardiac Surgery,56,0,,,,
BAKERSFIELD MEMORIAL HOSP,Cardiac Surgery,75,0,,,,
"BEVERLY HOSP, MONTEBELLO",Cardiac Surgery,<20,,,,,
"CALIFORNIA HOSP MED CTR, LOS ANGELES",Cardiac Surgery,<20,,,,,
"CEDARS-SINAI MED CTR, LOS ANGELES",Cardiac Surgery,507,6,1.36,0.50,2.96,N.D.
"CENTINELA HOSP MED CTR, INGLEWOOD",Cardiac Surgery,24,0,,,,
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,Cardiac Surgery,67,4,,,,
"CHILDREN'S HOSP CENTRAL CA, MADERA",Cardiac Surgery,134,1,0.60,0.02,3.32,N.D.
CHILDRENS HOSP OF LOS ANGELES,Cardiac Surgery,414,3,0.92,0.19,2.68,N.D.
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",Cardiac Surgery,109,0,0.00*,0.00,3.77,N.D.*
"CITRUS VALLEY MED CTR, INC.",Cardiac Surgery,38,0,,,,
"CITRUS VALLEY MED CTR, IC , COVINA",Cardiac Surgery,,,,,,
"CITRUS VALLEY MED CTR, QV, WEST COVINA",Cardiac Surgery,,,,,,
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",Cardiac Surgery,<20,,,,,
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",Cardiac Surgery,107,0,0.00*,0.00,5.76,N.D.*
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",Cardiac Surgery,47,0,,,,
"COMMUNITY REGIONAL MED CTR, FRESNO",Cardiac Surgery,56,0,,,,
"DAMERON HOSP, STOCKTON",Cardiac Surgery,20,0,,,,
"DESERT REGIONAL MED CTR, PALM SPRINGS",Cardiac Surgery,<20,,,,,
DIGNITY HEALTH,Cardiac Surgery,58,0,,,,
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",Cardiac Surgery,,,,,,
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",Cardiac Surgery,,,,,,
"DOCTORS MED CTR, MODESTO",Cardiac Surgery,97,2,,,,
DOWNEY REGIONAL MED CTR,Cardiac Surgery,<20,,,,,
"EISENHOWER MED CTR, RANCHO MIRAGE",Cardiac Surgery,98,0,,,,
EL CAMINO HOSP,Cardiac Surgery,,,,,,
"EL CAMINO HOSP, MOUNTAIN VIEW",Cardiac Surgery,191,0,0.00,0.00,3.11,N.D.
"EMANUEL MED CTR INC, TURLOCK",Cardiac Surgery,<20,,,,,
ENLOE MED CTR,Cardiac Surgery,72,0,,,,
"ENLOE MED CTR-COHASSET, CHICO",Cardiac Surgery,,,,,,
"ENLOE MED CTR-ESPLANADE, CHICO",Cardiac Surgery,,,,,,
"ENLOE REHABILITATION CTR, CHICO",Cardiac Surgery,,,,,,
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL,",Cardiac Surgery,,,,,,
GLENDORA,Cardiac Surgery,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Cardiac Surgery,29,0,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Cardiac Surgery,,,,,,
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,Cardiac Surgery,,,,,,
FREMONT-RIDEOUT HEALTH GROUP,Cardiac Surgery,<20,,,,,
"FREMONT MED CTR, YUBA CITY",Cardiac Surgery,,,,,,
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",Cardiac Surgery,,,,,,
"FRENCH HOSP MED CTR, SAN LUIS OBISPO",Cardiac Surgery,76,0,,,,
FRESNO HEART AND SURGICAL HOSP,Cardiac Surgery,125,0,0.00*,0.00,4.42,N.D.*
"GARFIELD MED CTR, MONTEREY PARK",Cardiac Surgery,<20,,,,,
GLENDALE ADVENTIST MED CTR,Cardiac Surgery,43,0,,,,
GLENDALE MEMORIAL HOSP AND HEALTH CTR,Cardiac Surgery,53,1,,,,
"GOOD SAMARITAN HOSP, LOS ANGELES",Cardiac Surgery,89,0,,,,
"GOOD SAMARITAN HOSP, LP",Cardiac Surgery,99,0,,,,
"MISSION OAKS HOSP, LOS GATOS",Cardiac Surgery,,,,,,
"GOOD SAMARITAN HOSP, SAN JOSE",Cardiac Surgery,,,,,,
"GROSSMONT HOSP, LA MESA",Cardiac Surgery,77,0,,,,
"HENRY MAYO NEWHALL MEMORIAL HOSP, VALENCIA",Cardiac Surgery,<20,,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",Cardiac Surgery,230,1,0.51,0.01,2.84,N.D.
"HOAG HOSPITAL, IRVINE",Cardiac Surgery,,,,,,
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",Cardiac Surgery,,,,,,
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",Cardiac Surgery,<20,,,,,
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,Cardiac Surgery,<20,,,,,
"VALLEYCARE MEDICAL CENTER, PLEASANTON",Cardiac Surgery,,,,,,
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",Cardiac Surgery,,,,,,
"HUNTINGTON MEMORIAL HOSP, PASADENA",Cardiac Surgery,133,0,0.00*,0.00,3.76,N.D.*
"JOHN MUIR MED CTR, CONCORD",Cardiac Surgery,141,0,0.00,0.00,3.28,N.D.
"JOHN MUIR MED CTR, WALNUT CREEK",Cardiac Surgery,<20,,,,,
"KAISER FOUNDATION HOSP, LOS ANGELES",Cardiac Surgery,678,3,0.69,0.14,2.00,N.D.
"KAISER FOUNDATION HOSP, SAN DIEGO",Cardiac Surgery,<20,,,,,
"KAISER FOUNDATION HOSP, SAN FRANCISCO",Cardiac Surgery,446,0,0.00,0.00,1.21,N.D.
KAISER FOUNDATION HOSP-SANTA CLARA,Cardiac Surgery,349,2,0.73,0.09,2.64,N.D.
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",Cardiac Surgery,<20,,,,,
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,Cardiac Surgery,<20,,,,,
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",Cardiac Surgery,<20,,,,,
"KAWEAH DELTA MED CTR, VISALIA",Cardiac Surgery,45,1,,,,
"KECK HOSP OF USC, LOS ANGELES",Cardiac Surgery,343,4,1.43,0.39,3.66,N.D.
"KERN MED CTR, BAKERSFIELD",Cardiac Surgery,<20,,,,,
"LAC+USC MED CTR, LOS ANGELES",Cardiac Surgery,184,1,0.57,0.02,3.20,N.D.
"LAC/HARBOR-UCLA MED CTR, TORRANCE",Cardiac Surgery,86,0,,,,
LAKEWOOD REGIONAL MED CTR,Cardiac Surgery,50,0,,,,
LOMA LINDA UNIVERSITY MED CTR,Cardiac Surgery,215,2,0.98,0.12,3.55,N.D.
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",Cardiac Surgery,,,,,,
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",Cardiac Surgery,,,,,,
"LOMA LINDA UNIV MED CTR, LOMA LINDA",Cardiac Surgery,,,,,,
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,Cardiac Surgery,<20,,,,,
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",Cardiac Surgery,241,1,0.52,0.01,2.89,N.D.
LOS ROBLES REGIONAL MED CTR,Cardiac Surgery,58,0,,,,
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",Cardiac Surgery,,,,,,
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",Cardiac Surgery,,,,,,
THOUSAND OAKS SURGICAL HOSP,Cardiac Surgery,,,,,,
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD,",Cardiac Surgery,,,,,,
MARIAN REGIONAL MEDICAL CENTER,Cardiac Surgery,,,,,,
MARIAN REGIONAL MEDICAL CENTER,Cardiac Surgery,46,0,,,,
"MARIN GENERAL HOSP, GREENBRAE",Cardiac Surgery,25,0,,,,
MARINA DEL REY HOSP,Cardiac Surgery,<20,,,,,
"MARSHALL MED CTR (1-RH), PLACERVILLE",Cardiac Surgery,<20,,,,,
"MEMORIAL MED CTR, MODESTO",Cardiac Surgery,65,1,,,,
"MERCY GENERAL HOSP, SACRAMENTO",Cardiac Surgery,593,1,0.20,0.01,1.11,N.D.
MERCY MED CTR REDDING,Cardiac Surgery,92,0,,,,
"MERCY SAN JUAN MED CTR, CARMICHAEL",Cardiac Surgery,76,0,,,,
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",Cardiac Surgery,32,0,,,,
MILLS-PENINSULA HEALTH SERVICES,Cardiac Surgery,74,0,,,,
"MILLS HEALTH CTR, SAN MATEO",Cardiac Surgery,,,,,,
"MILLS-PENINSULA MED CTR, BURLINGAME",Cardiac Surgery,,,,,,
MISSION HOSP REGIONAL MED CTR,Cardiac Surgery,,,,,,
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",Cardiac Surgery,43,0,,,,
NORTHBAY HEALTHCARE GROUP,Cardiac Surgery,,,,,,
"NORTHBAY MED CTR, FAIRFIELD",Cardiac Surgery,<20,,,,,
NORTHRIDGE HOSP MED CTR,Cardiac Surgery,30,1,,,,
"O'CONNOR HOSP, SAN JOSE",Cardiac Surgery,37,0,,,,
"OLYMPIA MED CTR, LOS ANGELES",Cardiac Surgery,<20,,,,,
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",Cardiac Surgery,45,0,,,,
PALMDALE REGIONAL MEDICAL CTR,Cardiac Surgery,<20,,,,,
PALOMAR HEALTH,Cardiac Surgery,27,0,,,,
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",Cardiac Surgery,,,,,,
"PALOMAR MED CTR, ESCONDIDO",Cardiac Surgery,,,,,,
"PARADISE VALLEY HOSP, NATIONAL CITY",Cardiac Surgery,<20,,,,,
"POMONA VALLEY HOSP MED CTR, POMONA",Cardiac Surgery,55,0,,,,
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",Cardiac Surgery,99,0,,,,
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",Cardiac Surgery,36,0,,,,
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",Cardiac Surgery,53,0,,,,
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",Cardiac Surgery,45,0,,,,
"PROVIDENCE TARZANA MED CTR, TARZANA",Cardiac Surgery,40,0,,,,
"QUEEN OF THE VALLEY MED CTR, NAPA",Cardiac Surgery,43,0,,,,
"RADY CHILDREN'S HOSP, SAN DIEGO",Cardiac Surgery,177,3,1.76,0.36,5.14,N.D.
REGIONAL MED CTR OF SAN JOSE,Cardiac Surgery,23,0,,,,
RIVERSIDE COMMUNITY HOSP,Cardiac Surgery,98,1,,,,
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",Cardiac Surgery,445,2,0.50,0.06,1.81,N.D.
SADDLEBACK MEMORIAL MED CTR,Cardiac Surgery,33,0,,,,
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",Cardiac Surgery,,,,,,
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,Cardiac Surgery,,,,,,
"SAINT AGNES MED CTR, FRESNO",Cardiac Surgery,123,0,0.00*,0.00,4.79,N.D.*
"SAINT FRANCIS MED CTR, LYNWOOD",Cardiac Surgery,21,0,,,,
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",Cardiac Surgery,23,0,,,,
"SAINT VINCENT MED CTR, LOS ANGELES",Cardiac Surgery,49,0,,,,
SALINAS VALLEY MEMORIAL HOSP,Cardiac Surgery,40,0,,,,
"SAN ANTONIO COMMUNITY HOSP, UPLAND",Cardiac Surgery,46,0,,,,
SAN FRANCISCO GENERAL HOSP,Cardiac Surgery,<20,,,,,
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",Cardiac Surgery,27,0,,,,
SAN MATEO MED CTR,Cardiac Surgery,<20,,,,,
"SAN RAMON REGIONAL MED CTR, INC.",Cardiac Surgery,<20,,,,,
SAN RAMON REGIONAL MED CTR,Cardiac Surgery,,,,,,
SAN RAMON REGIONAL MED CTR SOUTH BUILDING,Cardiac Surgery,,,,,,
SANTA BARBARA COTTAGE HOSPITAL,Cardiac Surgery,112,0,0.00*,0.00,4.32,N.D.*
SANTA BARBARA COTTAGE HOSP,Cardiac Surgery,,,,,,
REHABILITATION INSTITUTE AT SANTA BARBARA,Cardiac Surgery,,,,,,
"SANTA CLARA VALLEY MED CTR, SAN JOSE",Cardiac Surgery,45,0,,,,
SANTA ROSA MEMORIAL HOSP,Cardiac Surgery,53,0,,,,
SCRIPPS HEALTH,Cardiac Surgery,48,1,,,,
"SCRIPPS MERCY HOSP, SAN DIEGO",Cardiac Surgery,,,,,,
SCRIPPS MERCY HOSP CHULA VISTA,Cardiac Surgery,,,,,,
"SCRIPPS MEMORIAL HOSP, LA JOLLA",Cardiac Surgery,78,1,,,,
"SEQUOIA HOSP, REDWOOD CITY",Cardiac Surgery,172,0,0.00,0.00,3.41,N.D.
SETON MED CTR,Cardiac Surgery,25,0,,,,
"SETON MED CTR-COASTSIDE, MOSS BEACH",Cardiac Surgery,,,,,,
"SETON MED CTR, DALY CITY",Cardiac Surgery,,,,,,
SHARP CHULA VISTA MED CTR,Cardiac Surgery,75,0,,,,
"SHARP MEMORIAL HOSP, SAN DIEGO",Cardiac Surgery,196,1,0.76,0.02,4.21,N.D.
"SHASTA REGIONAL MED CTR, REDDING",Cardiac Surgery,23,0,,,,
ST BERNARDINE MED CTR,Cardiac Surgery,189,0,0.00,0.00,3.25,N.D.
"ST HELENA HOSP, ST HELENA",Cardiac Surgery,52,0,,,,
"ST JOHN'S REGIONAL MED CTR, OXNARD",Cardiac Surgery,60,0,,,,
ST JOSEPH HOSP EUREKA,Cardiac Surgery,,,,,,
"ST JOSEPH HOSP, EUREKA",Cardiac Surgery,27,0,,,,
"ST JOSEPH HOSP, ORANGE",Cardiac Surgery,122,0,0.00*,0.00,3.90,N.D.*
ST JOSEPH'S MED CTR OF STOCKTON,Cardiac Surgery,161,0,0.00,0.00,2.74,N.D.
"ST JUDE MED CTR, FULLERTON",Cardiac Surgery,45,0,,,,
"ST MARY MED CTR, APPLE VALLEY",Cardiac Surgery,42,0,,,,
"ST MARY MED CTR, LONG BEACH",Cardiac Surgery,<20,,,,,
"ST MARY'S MED CTR, SAN FRANCISCO",Cardiac Surgery,<20,,,,,
"STANFORD HOSP, STANFORD",Cardiac Surgery,317,3,0.91,0.19,2.66,N.D.
SUTTER EAST BAY HOSPS CTR,Cardiac Surgery,<20,,,,,
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",Cardiac Surgery,,,,,,
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",Cardiac Surgery,,,,,,
SUTTER EAST BAY HOSPS CTR,Cardiac Surgery,149,2,1.90,0.23,6.86,N.D.
"ALTA BATES SUMMIT MED CTR, OAKLAND",Cardiac Surgery,,,,,,
"ALTA BATES SUMMIT MED CTR, SUMMIT CAMPUS, OAKLAND",Cardiac Surgery,,,,,,
SUTTER HEALTH SACRAMENTO SIERRA REGION,Cardiac Surgery,496,3,0.85,0.18,2.48,N.D.
"SUTTER GENERAL HOSP, SACRAMENTO",Cardiac Surgery,,,,,,
"SUTTER MEMORIAL HOSP, SACRAMENTO",Cardiac Surgery,,,,,,
SUTTER MED CTR OF SANTA ROSA,Cardiac Surgery,71,0,,,,
SUTTER ROSEVILLE MED CTR,Cardiac Surgery,<20,,,,,
"SUTTER SOLANO MED CTR, VALLEJO",Cardiac Surgery,<20,,,,,
SUTTER WEST BAY HOSPS,Cardiac Surgery,146,0,0.00,0.00,3.56,N.D.
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",Cardiac Surgery,,,,,,
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",Cardiac Surgery,,,,,,
"TORRANCE MEMORIAL MED CTR, TORRANCE",Cardiac Surgery,76,2,,,,
"TRI-CITY MED CTR, OCEANSIDE",Cardiac Surgery,44,0,,,,
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",Cardiac Surgery,219,4,1.75,0.48,4.49,N.D.
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",Cardiac Surgery,58,1,,,,
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Cardiac Surgery,154,0,0.00,0.00,2.49,N.D.
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",Cardiac Surgery,,,,,,
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",Cardiac Surgery,,,,,,
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",Cardiac Surgery,332,0,0.00,0.00,1.22,N.D.
"UCSF MED CTR, SAN FRANCISCO",Cardiac Surgery,,,,,,
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",Cardiac Surgery,,,,,,
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",Cardiac Surgery,<20,,,,,
"WASHINGTON HOSP, FREMONT",Cardiac Surgery,32,0,,,,
"WEST ANAHEIM MED CTR, ANAHEIM",Cardiac Surgery,<20,,,,,
WEST HILLS HOSP AND MED CTR,Cardiac Surgery,<20,,,,,
WESTERN MED CTR ANAHEIM,Cardiac Surgery,42,0,,,,
WESTERN MED CTR SANTA ANA,Cardiac Surgery,35,0,,,,
"WHITE MEMORIAL MED CTR, LOS ANGELES",Cardiac Surgery,<20,,,,,
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",Coronary Artery Bypass Graft with Chest and Donor Site Incisions,107,1,0.98,0.03,5.44,N.D.
"ALVARADO HOSP, LLC",Coronary Artery Bypass Graft with Chest and Donor Site Incisions,38,2,,,,
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",Coronary Artery Bypass Graft with Chest and Donor Site Incisions,,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",Coronary Artery Bypass Graft with Chest and Donor Site Incisions,,,,,,
"ANTELOPE VALLEY HOSP, LANCASTER",Coronary Artery Bypass Graft with Chest and Donor Site Incisions,<20,,,,,
